0,18697,29685
1,6170,7993
2,59093,61010
3,14885,20051
4,11237,23579
5,908,3261
6,20707,40036
7,1055,3213
8,133033,75550
9,65264,53285
10,3353,7882
11,4133,10628
12,35021,14811
13,27048,40801
14,4591,6810
15,1119,3273
16,17485,11628
17,262,646
18,22893,22931
19,2633,6863
20,79990,75908
21,26893,28177
22,134813,106838
23,6716,6572
24,8619,3821
25,356870,78673
26,302,845
27,202073,97799
28,8326,7768
29,373,765
30,4545,9674
31,1558,3324
32,1702,3267
33,11253,19876
34,14375,15948
35,13052,9623
